Type,n,Number,rho,delta,Time,LB,UB,GAP,Max|O|,TreeSize
Uniform,6,1,0.25,0.25,707.958174943924,33.89904512287253,33.90747265420497,0.02485449569889686,4,13
Uniform,6,2,0.25,0.25,2226.6276438236237,25.56986196695516,25.57430121174996,0.017358225188820204,3,4
Uniform,6,3,0.25,0.25,1935.3313510417938,25.500363149951735,25.505975717186267,0.022004910914858997,3,13
Uniform,6,4,0.25,0.25,1505.1821711063385,33.89434061585748,33.899235161140396,0.01443851243147407,2,8
Uniform,6,5,0.25,0.25,2531.3992540836334,22.052639125531154,22.058670394583054,0.027341942846111886,4,13
Uniform,6,6,0.25,0.25,1378.8563179969788,27.71399145383246,27.719454540965984,0.019708494355292563,2,13
Uniform,6,7,0.25,0.25,2575.2565910816193,32.9097218182472,32.91552456380176,0.017629205766760726,4,13
Uniform,6,8,0.25,0.25,622.795599937439,22.210065127831996,22.220252004009584,0.04584500740923233,4,8
Uniform,6,9,0.25,0.25,2915.999295949936,28.395872215552814,28.401931680746888,0.021334693929221573,4,13
Uniform,6,10,0.25,0.25,1904.018492937088,28.591607095829254,28.59656332702069,0.017331562309631194,3,8
Uniform,6,1,0.5,0.5,575.2723870277405,32.73078975558725,32.75143982621285,0.06305087878631825,5,8
Uniform,6,2,0.5,0.5,2368.1396589279175,24.580176454345143,24.58892630523328,0.03558451792290945,3,4
Uniform,6,3,0.5,0.5,2233.2530438899994,24.343742528790177,24.35341662718703,0.03972378309355583,4,8
Uniform,6,4,0.5,0.5,2398.528235912323,32.88149683393534,32.89137793930155,0.030041627883290834,2,8
Uniform,6,5,0.5,0.5,652.9441230297089,20.650005253596344,20.66335407725424,0.06460143695930921,5,8
Uniform,6,6,0.5,0.5,1384.478837966919,26.299733878592953,26.31051348597774,0.040970722181200486,3,13
Uniform,6,7,0.5,0.5,1784.5615470409393,31.82269368775248,31.832694964776636,0.03141825420443386,3,8
Uniform,6,8,0.5,0.5,2836.459282875061,21.209777837941044,21.218348130264257,0.04039094971294848,3,4
Uniform,6,9,0.5,0.5,2682.3522119522095,26.608298805655885,26.619882818726587,0.043516393928502366,5,13
Uniform,6,10,0.5,0.5,2119.4578058719635,27.518439477284513,27.528341769329455,0.035971262373580386,3,8
Uniform,6,1,1.0,1.0,2660.4729759693146,30.875561179329228,30.89267449417707,0.055396028761012815,4,4
Uniform,6,2,1.0,1.0,664.5580739974976,22.824236646836685,22.852768690350324,0.12485158319432389,2,1
Uniform,6,3,1.0,1.0,1043.0831470489502,22.424234056386602,22.478172727260315,0.2399602117493239,4,8
Uniform,6,4,1.0,1.0,2467.608414173126,31.033222882824475,31.05033027018773,0.05509566956097388,2,4
Uniform,6,5,1.0,1.0,681.7811801433563,18.075020849338483,18.115984233645303,0.22611735458867754,10,13
Uniform,6,6,1.0,1.0,2157.1546959877014,23.643824953119605,23.667105164557476,0.09836526806300981,3,8
Uniform,6,7,1.0,1.0,3402.810672044754,29.826573601685784,29.83978780473553,0.04428383719152469,3,4
Uniform,6,8,1.0,1.0,747.3404960632324,19.66613012570165,19.69575486977754,0.1504118236227173,2,1
Uniform,6,9,1.0,1.0,2551.808471918106,24.102492193207617,24.118784195364476,0.0675490191582327,2,4
Uniform,6,10,1.0,1.0,2734.558743953705,25.617865945231877,25.634945033865364,0.06662424518923102,3,4
Uniform,8,1,0.25,0.25,2324.1965630054474,35.41022266910182,35.41705079580951,0.019279207484142896,6,30
Uniform,8,2,0.25,0.25,2168.530592918396,25.597195659524154,25.603734486970577,0.025538569187049023,5,19
Uniform,8,3,0.25,0.25,1861.4508340358734,37.228944051412114,37.23628507535715,0.019714705508838425,2,26
Uniform,8,4,0.25,0.25,2023.7579112052917,29.432259984092127,29.43820481575891,0.02019427374728629,6,18
Uniform,8,5,0.25,0.25,2960.8904190063477,33.622853541843895,33.62934732421864,0.019309867396892604,4,19
Uniform,8,6,0.25,0.25,3416.6574029922485,25.233798767192496,25.2402686102282,0.02563301974163952,7,30
Uniform,8,7,0.25,0.25,2545.3083341121674,28.395716936486057,28.402550326363688,0.024059071453481688,4,25
Uniform,8,8,0.25,0.25,1918.5502190589905,33.55822650403588,33.565595405151264,0.02195373276248715,5,26
Uniform,8,9,0.25,0.25,1489.9293110370636,33.076811088596216,33.083165092525164,0.019206154886260967,3,19
Uniform,8,10,0.25,0.25,1942.5163538455963,29.770700567674268,29.777997491972094,0.024504415717656016,5,33
Uniform,8,1,0.5,0.5,2711.820856809616,33.9960476683789,34.00942471432734,0.039333349684103056,7,30
Uniform,8,2,0.5,0.5,2241.502818107605,24.422970181328346,24.434602444650547,0.04760569912504777,6,13
Uniform,8,3,0.5,0.5,3128.024260044098,35.807966280813275,35.822439605158586,0.04040295553523977,4,26
Uniform,8,4,0.5,0.5,3306.567384004593,28.013440677529736,28.026974689129155,0.04828923474451097,7,25
Uniform,8,5,0.5,0.5,3086.8583290576935,32.180992812454896,32.188839255417946,0.024376284279121196,6,19
Uniform,8,6,0.5,0.5,1267.7547221183777,23.770450608169078,23.78115996487758,0.04503294508896832,6,13
Uniform,8,7,0.5,0.5,2418.7249500751495,26.609991742486454,26.619882818726587,0.03715672344423571,8,19
Uniform,8,8,0.5,0.5,1930.9496459960938,32.15889171447748,32.17028587399179,0.03541827249823102,4,13
Uniform,8,9,0.5,0.5,1413.9364361763,31.531613875450144,31.542537465969442,0.03463129918156616,3,13
Uniform,8,10,0.5,0.5,1629.9252500534058,28.306010438639955,28.317337292699403,0.0399997144589148,4,13
Uniform,8,1,1.0,1.0,852.2275581359863,31.64130043387473,31.68695432900187,0.1440778897622124,7,18
Uniform,8,2,1.0,1.0,1583.5673079490662,22.463316604046522,22.49481629914769,0.14003090615308292,4,8
Uniform,8,3,1.0,1.0,2213.534012079239,33.49211387285119,33.50847000518275,0.048811934203588765,2,4
Uniform,8,4,1.0,1.0,824.5561380386353,25.305855031359034,25.35296780228419,0.18582743958248635,9,13
Uniform,8,5,1.0,1.0,1066.0909221172333,29.804800794222842,29.85371635552228,0.16385082753822633,7,19
Uniform,8,6,1.0,1.0,998.6189570426941,21.298389224967476,21.316981211155408,0.08721678742298941,5,8
Uniform,8,7,1.0,1.0,2372.5193161964417,24.102492193207617,24.118784195364476,0.0675490191582327,2,4
Uniform,8,8,1.0,1.0,2455.7732779979706,29.872831292912,29.89230549452555,0.06514787431540832,4,8
Uniform,8,9,1.0,1.0,1894.4238500595093,28.795890138860038,28.818878737559682,0.07976923359507129,4,8
Uniform,8,10,1.0,1.0,2359.017634868622,25.83110337677084,25.850724996022635,0.07590355494792775,4,8
Uniform,10,1,0.25,0.25,1513.854393005371,33.36425146112758,33.37289317792921,0.02589441902909978,8,54
Uniform,10,2,0.25,0.25,2493.635934114456,33.833259655604174,33.84150974962611,0.02437862283029539,7,53
Uniform,10,3,0.25,0.25,3193.2697830200195,29.01946673194101,29.02770373621187,0.02837635503556822,5,39
Uniform,10,4,0.25,0.25,2482.271069049835,28.96905565128796,28.975547859048792,0.022405815387558935,5,19
Uniform,10,5,0.25,0.25,852.6608049869537,30.44381342573289,30.452834062923333,0.029621667302961938,17,87
Uniform,10,6,0.25,0.25,2582.488396167755,36.724124966153425,36.73060034054372,0.01762937259466358,11,54
Uniform,10,7,0.25,0.25,1937.081034898758,35.484571350966604,35.49267374794734,0.02282836463175049,4,34
Uniform,10,8,0.25,0.25,2012.2426671981812,33.72786626739966,33.73587570144606,0.023741592236352617,6,34
